"Timestamp","Participant ID","1. How mentally demanding was the task?","2. How physically demanding was the task?","3. How hurried or rushed was the pace of the task?","4. How successful were you in accomplishing the task?  (CAREFUL: 7 is Failure and 1 is Perfect)","5. How hard did you have to work to accomplish your level of performance?","6. How insecure, discouraged, irritated, stressed, and annoyed were you?","",""
"2023/06/28 7:41:14 pm GMT+10","102","3","3","3","1","2","2","","Successful as before. Regularity made it a bit easier. Same strategies worked. "
"2023/07/03 3:35:20 pm GMT+10","9","6","5","6","3","6","3","",""
"2023/07/04 10:26:23 am GMT+10","10","6","4","6","4","7","2","",""
"2023/07/04 3:10:10 pm GMT+10","11","6","6","6","5","4","5","",""
"2023/07/04 3:59:30 pm GMT+10","13","6","5","5","4","5","1","",""
"2023/07/05 10:40:36 am GMT+10","1","6","5","6","5","6","4","",""
"2023/07/06 4:12:46 pm GMT+10","3","1","1","2","3","3","1","",""
"2023/07/07 4:40:21 pm GMT+10","2","6","4","5","6","5","5","",""
"2023/07/10 5:28:51 pm GMT+10","4","7","7","7","6","7","6","",""
"2023/07/11 12:48:39 pm GMT+10","5","3","4","3","5","3","3","",""
"2023/07/11 3:33:43 pm GMT+10","6","5","5","5","6","2","5","",""
"2023/07/13 4:16:18 pm GMT+10","8","7","2","7","6","6","4","",""
"2023/07/14 4:15:33 pm GMT+10","12","5","5","5","4","5","4","",""
"2023/07/17 2:53:20 pm GMT+10","14","3","3","4","6","3","2","",""
"2023/07/17 4:56:50 pm GMT+10","16","3","3","2","7","2","6","",""
"2023/07/18 6:49:18 pm GMT+10","7","6","2","6","5","4","2","",""
"2023/07/18 7:54:12 pm GMT+10","15","6","7","7","7","7","6","",""